title,id
Hakkenden: Touhou Hakken Ibun,5212
Pokémon: The Origin,6725
Magi: Sinbad no Bouken,14889
Mushishi,485
Glasslip,8738
Druaga no Tou: the Aegis of Uruk,695
Little Busters!,4784
Gamers!,18112
Demi-chan wa Kataritai,17773
Seitokai Yakuindomo *,7605
Beck,51
Zero kara Hajimeru Mahou no Sho,17981
Tsurezure Children,18748
Psycho-Pass Re:START,8472
Nogizaka Haruka no Himitsu: Purezza,124
Bounen no Xamdou,110
Servamp,13772
Rokujouma no Shinryakusha!?,8217
Kin'iro no Chord: Primo Passo,959
Ajin 2nd Season,16798
Tsubasa Chronicle,113
Black Blood Brothers,185
Persona 4 The Animation,2102
Dansai Bunri no Crime Edge,5861
Rail Wars!,8612
Love Live! School Idol Project (2014),6677
Utawarerumono,128
Tales of the Abyss,676
Heroic Age,1272
Inu to Hasami wa Tsukaiyou,6281
Zoku Natsume Yuujinchou,497
Asura Cryin' 2,164
Net-juu no Susume,21499
Hanamonogatari: Suruga Devil,8492
Danna ga Nani o Itte Iru ka Wakaranai Ken,9816
Junjou Romantica 3,9996
Tayutama: Kiss on my Deity,679
Love Hina,161
Kodomo no Jikan,422
B: The Beginning,20656
Strawberry Panic!,660
Goshuushou-sama Ninomiya-kun,77
Tanaka-kun wa Itsumo Kedaruge,15453
Loveless,858
Citrus,18252
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",7645
Suzumiya Haruhi no Yuuutsu Second Season,1255
Hyakka Ryouran: Samurai Bride,5842
Dagashi Kashi,14879
Berserk (2016),15411
Hajime no Ippo: The Fighting! New Challenger,1273
Sidonia no Kishi,8361
Hitsugi no Chaika: Avenging Battle,9058
Yakusoku no Neverland,22953
Hiiro no Kakera Dai Ni Shou,4866
Tamako Market,5372
Taboo Tattoo,16256
Re: Hamatora,8956
Diamond no Ace,6638
One Outs,521
Arata Kangatari,5241
Keijo!!!!!!!!,15774
Re:CREATORS,18416
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,16048
Hanasakeru Seishounen,302
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,12692
Druaga no Tou: the Sword of Uruk,696
Akikan!,175
Sacred Seven,1968
Fuuka,17565
Gintama',1888
Erementar Gerad,158
Magic Kaito 1412,9832
Natsume Yuujinchou San,1976
"Inari, Konkon, Koi Iroha.",7678
Terra Formars,9585
Bishoujo Senshi Sailor Moon,4195
Juuou Mujin no Fafnir,10035
Higurashi no Naku Koro ni Rei,326
Tenjou Tenge,685
Strike Witches,665
Durarara!!x2 Ketsu,10748
Nobunaga the Fool,7657
To LOVE-Ru Darkness 2nd,10553
KimiKiss Pure Rouge,415
Gravitation,368
H2O: Footprints in the Sand,860
Sakamichi no Apollon,3422
Donten ni Warau,9330
Toaru Hikuushi e no Koiuta,6650
Onegai Teacher,129
GJ-bu,5190
World Trigger,9198
Jigoku Shoujo Futakomori,721
To LOVE-Ru OVA,1119
Okusama ga Seito Kaichou!,12186
Dragon Ball Kai,307
Monochrome Factor,832
Fate/Apocrypha,18507
Phi Brain: Kami no Puzzle,2070
RWBY Volume 2,9222
New Game!,15438
Koi to Uso,18787
Tsukimonogatari: Yotsugi Doll,10394
To LOVE-Ru Darkness OVA,4673
Devilman: crybaby,18871
D.Gray-man Hallow,15380
Tokyo Magnitude 8.0,706
Seitokai no Ichizon,125
Ikkitousen,370
Casshern Sins,216
Tegami Bachi,443
Blend S,18465
Kakumeiki Valvrave,5844
Natsume Yuujinchou Shi,2154
Wotaku ni Koi wa Muzukashii,21337
JoJo no Kimyou na Bouken: Stardust Crusaders,8350
Kannagi,391
Needless,498
Ookami Kakushi,154
Dragonaut: The Resonance,481
BlazBlue: Alter Memory,6297
Coppelion,6648
Tsuki ga Kirei,18686
Green Green,281
Tears to Tiara,680
Ai yori Aoshi,156
Fate/kaleid liner Prisma☆Illya,6066
Nabari no Ou,975
RDG: Red Data Girl,5086
Cardcaptor Sakura,213
Captain Tsubasa: Road to 2002,667
Hajimete no Gal,18287
Prince of Stride: Alternative,14537
Steins;Gate 0,11641
X,753
Super Lovers,14724
Sword Art Online Alternative: Gun Gale Online,21886
Bokusatsu Tenshi Dokuro-chan,200
Bakuten Shoot Beyblade,1521
R-15,1995
Juuni Taisen,18855
Black Lagoon: Roberta`s Blood Trail,1542
Kore ga Watashi no Goshujin-sama,317
Panty & Stocking with Garterbelt,1461
Zetman,3233
Hetalia: Axis Powers,319
Knight's & Magic,17900
Gabriel DropOut,17532
Grand Blue,22452
Eyeshield 21,251
Non Non Biyori,6651
Hajime no Ippo: The Fighting! - Rising,6636
Ballroom e Youkoso,18490
Ushio to Tora,12207
Watashi ga Motete Dousunda,16034
Rewrite,14884
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,15464
Kyoukaisen-jou no Horizon II,4168
Ef: A Tale of Melodies.,245
Yu☆Gi☆Oh! 5D's,765
Nanbaka,16333
Hakkenden: Touhou Hakken Ibun (2013),6061
Little Busters!: Refrain,6634
Kareshi Kanojo no Jijou,397
Plastic Neesan,5376
Mahou Sensei Negima!,1010
Captain Tsubasa,1079
Seto no Hanayome,907
Ryuugajou Nanana no Maizoukin (2014),8327
Princess Princess,1240
Little Witch Academia,17178
Macross Frontier,118
Mayoiga,15554
Kantai Collection: KanColle,8947
"Ore ga Ojou-sama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken",10829
Hunter x Hunter,333
Gintama': Enchousen,4903
Qualidea Code,15511
Arakawa Under the Bridge,890
Ao no Kanata no Four Rhythm,14996
Sword Art Online: Alicization,18696
Dance With Devils,10938
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,10043
Baby Steps,7768
Full Moon wo Sagashite,344
Aho Girl,18712
Hikaru no Go,327
Jitsu wa Watashi wa,12187
Hibike! Euphonium,11155
Ro-Kyu-Bu!,1963
Owarimonogatari,13648
Selector Infected Wixoss,8287
Gakuen Heaven,489
Crayon Shin-chan,613
Tari Tari,4308
Un-Go,2090
Hakuouki: Reimei-roku - Shinsengumi Kitan,4387
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,16868
White Album 2,6641
"Senki Zesshou Symphogear: Meteoroid-Falling, Burning, and Disappear, Then...",2362
Kimi to Boku.,2093
Chihayafuru 2,5191
Black Clover,18412
Azumanga Daiou The Animation (2002),104
Strike Witches 2,1268
Hybrid Child,9087
Yuru Yuri ♪♪,4170
Just Because!,20002
Ousama Game,21462
Paradise Kiss,1256
Kanojo ga Flag wo Oraretara,8351
Mawaru Penguindrum,1990
Witchblade,751
Hinamatsuri,21659
Yowamushi Pedal,6653
REC,562
Gintama°,11246
Major,964
Bakuretsu Tenshi,5
Rozen Maiden,572
Working!!!,10802
Otome wa Boku ni Koishiteru,778
RWBY Volume 3,14757
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,23693
Subete ga F ni Naru,12665
Midori no Hibi!,469
